# Min Max
2.068931269162209332e+07 1.458146511724783630e+11
1.276671488493592292e+07 1.086540491730947113e+11
3.389371744977135211e+06 7.577042565808392334e+10
3.299492207563886791e+07 2.049366507069178467e+11
2.183851740117095411e+07 1.642114560528694153e+11
5.054877387669081986e+07 5.194978469678278198e+11
2.396086467369951308e+07 1.321000628062651062e+11
1.234505682057239860e+07 9.295813057835691833e+10
4.966343677590049803e+06 5.985272151154486084e+10
8.315813426326075196e+07 5.501012593662135010e+11
1.591358464283267409e+07 1.015227541809098816e+11
6.596347167675998062e+06 7.123446296207051086e+10
5.834170235932391137e+06 4.845625908432890320e+10
4.247172132906969637e+06 3.632343729677819061e+10
1.926533062762669474e+07 1.595766517141212158e+11
2.561380305119888484e+07 1.405379190611092529e+11
1.519801226129824668e+07 9.824570791994450378e+10
6.773656848842225969e+06 5.534627530955261993e+10
3.529787264808237553e+07 3.740027446869120483e+11
1.773654791385687143e+07 9.452631865017817688e+10
9.198938365813881159e+06 6.335937173864222717e+10
4.364480412200491875e+06 3.837193246221527100e+10
4.171932996380090714e+06 2.908697230218299103e+10
6.936781525613357127e+07 4.325461608521036377e+11
1.175975496318831295e+07 7.173670522717828369e+10
6.148923234935574234e+06 5.294581410750599670e+10
3.694825161107506603e+06 3.236599502192754745e+10
3.035575358009882271e+06 2.545288769527346802e+10
5.198371448799520731e+05 2.117739124486299896e+10
1.748897477974490076e+07 1.019477665092481384e+11
1.041649887455133349e+07 6.342103749022993469e+10
1.835717679156332463e+07 1.054785795170850525e+11
1.255787668843692541e+07 6.950431947667288208e+10
6.033342940551660955e+06 3.736207245960460663e+10
3.634331423818081617e+06 2.800327894180369568e+10
1.914731631808605790e+07 3.039134631425805054e+11
1.292085121520272642e+07 7.589066685848791504e+10
6.537088315457828343e+06 4.962437783838072205e+10
4.318392084102429450e+06 3.014435998160157776e+10
2.293630041654072702e+06 2.338756041037895203e+10
1.396457976602911949e+06 1.857219129074379730e+10
4.934133712307651341e+07 3.415102312326856079e+11
9.351935884767595679e+06 6.197331011846064758e+10
5.015915151672612876e+06 4.140625011544259644e+10
2.934257097152676433e+06 2.531575767458291245e+10
2.218122878733910620e+06 1.918876425828250885e+10
1.224598849530324340e+06 1.573829042090915871e+10
-1.010929418297138065e+06 1.392509578942218208e+10
1.234286916418983787e+07 6.191378361815776825e+10
1.288356103562307358e+07 6.990763262250636292e+10
8.557279668994870037e+06 4.169084237617938995e+10
4.001528887009836733e+06 2.858408077715300369e+10
1.228882079949305207e+07 8.513673443299365234e+10
8.745314885362986475e+06 5.242080312128012085e+10
4.105740528760455549e+06 2.993229700548966980e+10
2.365277636830959469e+06 2.215840096602825165e+10
1.605240502228774130e+06 1.809763299795278168e+10
1.299798779776005447e+07 2.253779705252195435e+11
9.524889610204748809e+06 6.318966880646914673e+10
4.274389541358999908e+06 3.907914686499249268e+10
2.857613698061738163e+06 2.402804851865633774e+10
1.398091643871560693e+06 1.837572201476413345e+10
1.268469501761503518e+06 1.441441599270376968e+10
5.317919230402745306e+05 1.270583310530401993e+10
4.539124795703622699e+07 2.719373625906571350e+11
6.089054511161562055e+06 5.181095088793364716e+10
3.180673540295906365e+06 3.539376757092918396e+10
1.869945331171134487e+06 2.152858762404755402e+10
7.328757634339947253e+05 1.594579032055590057e+10
8.010856236212793738e+05 1.300679175910078812e+10
7.729282785724997520e+05 1.144751922740318680e+10
-9.524922294007539749e+05 1.026783408131823730e+10
9.466684536417663097e+06 4.346600739101100159e+10
6.162224689700786024e+06 3.027933132989945984e+10
9.013684773221854120e+06 5.287221465476501465e+10
5.546080830836806446e+06 3.264864291563923264e+10
2.764026081183603033e+06 2.168786076140967941e+10
1.807222078508540988e+06 1.744967976786735916e+10
1.024555219395525753e+07 6.932066310213287354e+10
6.914440066840842366e+06 4.179345159522792053e+10
3.677184821825161576e+06 2.368053671679437637e+10
2.462002794196123257e+06 1.714642955352182770e+10
1.206935163008414209e+06 1.368457698360483360e+10
5.838262933925688267e+05 1.165547991303654480e+10
7.028959080233499408e+06 1.845339599643977051e+11
6.670423148074798286e+06 5.251205279768165588e+10
3.880889615889538080e+06 3.325143533947072220e+10
1.810637057306416333e+06 1.972681012764661407e+10
9.157583144716452807e+05 1.506147204018675995e+10
9.295233028040751815e+05 1.180230879219979477e+10
9.323091950606014580e+05 1.046384996453461838e+10
4.930517658207938075e+05 9.305195619674839020e+09
3.566805360542586446e+07 2.281668563167868042e+11
4.681442456249993294e+06 4.203464469836416626e+10
1.885912109405845404e+06 2.902015420111010742e+10
1.406293817266497761e+06 1.740957946959658051e+10
6.122003281373307109e+05 1.303467833114250565e+10
6.435892991525065154e+05 1.057730333891200638e+10
2.299929810600336641e+05 9.193404060790992737e+09
1.594548274603057653e+05 8.295134333263927460e+09
-6.969722822842411697e+05 7.683987113630073547e+09
6.170505777391824871e+06 3.239663005781864548e+10
6.199729372780285776e+06 3.449087522225726318e+10
4.363371328089823946e+06 2.427265124992806625e+10
1.254316384987793863e+06 1.792024901373167419e+10
7.863508431616753340e+06 4.228152603239022827e+10
3.961481874000340700e+06 2.621341690750516129e+10
2.275666791571505368e+06 1.816666972798198318e+10
1.509959141504555941e+06 1.363409896152461433e+10
8.363680202655456960e+05 1.114230242407437134e+10
5.733948294776253402e+06 5.862381754336459351e+10
4.213819700400393456e+06 3.491209781958647156e+10
2.380115885788332671e+06 2.066321463209604645e+10
9.830100500646177679e+05 1.474439385861237335e+10
8.486748498943876475e+05 1.135394284469713783e+10
2.778315510150492191e+05 9.858698225381824493e+09
4.155527076087053865e+05 8.751491970976417542e+09
-3.241503195378839970e+06 1.504411945153098145e+11
6.464449868939410895e+06 4.535554587764089966e+10
3.254376916825920343e+06 2.782409344455664825e+10
1.364142101984526962e+06 1.684340531659255600e+10
1.068770544541331008e+06 1.230517393972911072e+10
7.882597742375358939e+05 9.701692020473911285e+09
4.955383382658008486e+05 8.713062869974422455e+09
9.734637948292121291e+04 7.780175208209754944e+09
6.842050953335128725e+04 7.069644899690864563e+09
2.912204515650540590e+07 1.920301206336653748e+11
3.763546296074055135e+06 3.792069898594012451e+10
1.318080927653465420e+06 2.386186032807356262e+10
1.090148678933557123e+06 1.494115458938982010e+10
2.690038254455924034e+05 1.146173485219268799e+10
-4.120147135220468044e+04 8.784946835227905273e+09
6.582405737377330661e+04 7.775169097380882263e+09
-1.448680897734332830e+05 7.081633514495868683e+09
-1.188538564062491059e+05 6.434854609574491501e+09
-2.457423277830868959e+06 6.116897657829851151e+09
4.667118643251631409e+06 2.608270957737497711e+10
2.837097279739059508e+06 1.951525854498862457e+10
4.514483943317277357e+06 2.756813010180280304e+10
3.405369637948609889e+06 1.905705337616884995e+10
1.752449264388563111e+06 1.393207481612344170e+10
8.266059173017889261e+05 1.076194294241547585e+10
5.397982936716325581e+06 3.679407351895631409e+10
3.704420289217097685e+06 2.162918783539221954e+10
1.847374261605849490e+06 1.463876891127004242e+10
1.089974634921420366e+06 1.147802445695616150e+10
6.512034775401577353e+05 9.251465801389335632e+09
3.670459431062527001e+05 8.048965519747142792e+09
5.705788280633382499e+06 4.816107447340861511e+10
4.316668216823570430e+06 3.027147857379261017e+10
2.331453969172209501e+06 1.682256603523046875e+10
1.161618793000645936e+06 1.183280940595180321e+10
5.945665145330950618e+05 9.596488935054643631e+09
5.998244922355748713e+05 7.689851401010047913e+09
3.112343143345266581e+05 7.045397828947559357e+09
-2.387056074940040708e+04 6.334226844395191193e+09
-1.508422572782671452e+07 1.292753507676681366e+11
4.243565516867015511e+06 3.815829416228668213e+10
1.829675302768900990e+06 2.365333278211354065e+10
1.194087523514026776e+06 1.378679885510833359e+10
7.212068844287209213e+05 1.021573654550308228e+10
3.856641824032180011e+05 8.213713429159812927e+09
2.061233353268057108e+05 6.983509976104000092e+09
8.366588008459657431e+03 6.213266355106748581e+09
1.595583757093138993e+05 5.558103836899467468e+09
-4.446221509412378073e+05 5.184749129397956848e+09
2.879352323943482339e+07 1.675136922837480164e+11
3.439052044077742845e+06 3.098038153099157715e+10
1.476805275412749499e+06 2.089265578448479462e+10
4.625695825780760497e+05 1.279131888816413498e+10
5.319569350771885365e+05 9.196532186037536621e+09
-3.489652730932086706e+04 7.412413131256942749e+09
-8.163702209020406008e+04 6.638240643602708817e+09
8.874287780553102493e+03 5.964057012714534760e+09
-9.695028584269993007e+04 5.133684845888416290e+09
-7.078057280011028051e+05 4.508767188708217621e+09
-1.125397204882778227e+06 4.259127691567659378e+09
3.268434487393943593e+06 2.000082705473943329e+10
3.518844598702576011e+06 2.044449675792699432e+10
2.396832317551793531e+06 1.583183925923720551e+10
1.437872345759369433e+06 1.167038665848890305e+10
3.903260192508012056e+06 2.229469970481364822e+10
2.499840334868552163e+06 1.636282551891184616e+10
1.673701800650518388e+06 1.221809935044473076e+10
5.899067936595864594e+05 9.199195967152099609e+09
8.986131221834942698e+04 7.855945059150409698e+09
4.470451876802738756e+06 2.992098941077566147e+10
2.880102911636956036e+06 1.837568208118526077e+10
1.506743393952669576e+06 1.284658976472533035e+10
6.151482170506361872e+05 1.001553118377191544e+10
4.132573027131110430e+05 7.583913238751199722e+09
2.207663593760654330e+05 6.741233638561233521e+09
2.581883761958032846e+04 5.686228634318372726e+09
3.972763824610937387e+06 4.247075560010874939e+10
3.007901476613391191e+06 2.592881820201148224e+10
1.109981797357385978e+06 1.440696443921869659e+10
9.664287719850651920e+05 1.022471860263040543e+10
4.714305120795182884e+05 8.269931705291330338e+09
6.479983277643285692e+04 6.550375117020587921e+09
-1.169956472760811448e+04 5.821779543594886780e+09
-2.087889516144990921e+03 5.099763181834184647e+09
4.031045505969971418e+04 4.706912791601337433e+09
-2.814403260993844271e+07 1.079228707629641571e+11
4.234061877058610320e+06 3.197458912208913803e+10
1.597458411614160985e+06 2.131141639981515503e+10
8.628940242199730128e+05 1.241498703475607681e+10
4.749910224902275950e+05 9.090953531977022171e+09
3.088982650961987674e+05 7.272785041071481705e+09
1.557572682052217424e+05 6.006611550791275024e+09
1.344870793147049844e+05 5.324089913169458389e+09
7.088334572110325098e+04 4.829193444899972916e+09
-5.843113785110041499e+04 4.184682218299758911e+09
-3.574962708757705986e+05 3.931820820657640457e+09
2.242750980417284369e+07 1.406744933362210083e+11
1.186233884716060013e+06 2.598529226223939896e+10
2.496759285645373166e+05 1.882176432797902679e+10
8.117962266088649631e+04 1.111824157682958794e+10
1.307849769220463932e+05 8.407173166767850876e+09
1.024770296814627945e+05 6.601553907134859085e+09
-3.166183782250620425e+05 5.336169745425825119e+09
-3.671486682172846049e+05 4.928849458698638916e+09
-1.362482279600575566e+05 4.340676374860439301e+09
-1.287365028411224484e+05 3.852895706812669754e+09
-4.528290856661684811e+05 3.718913887048231125e+09
-2.530174890071004629e+06 3.268829258913640976e+09
2.527029055771771818e+06 1.581513974888726044e+10
1.941493569596476853e+06 1.282213449924071503e+10
3.038207136558320373e+06 1.661902402123291779e+10
1.894450196692030877e+06 1.347711183844870377e+10
1.140901688514932990e+06 9.734047487884994507e+09
3.862796547042634338e+05 7.845552301610780716e+09
2.963856004158185795e+06 1.812104335923136902e+10
2.015036166102245450e+06 1.388237909694994545e+10
1.208639607129301876e+06 1.053455329940879631e+10
6.631462314770873636e+05 7.805674246890584946e+09
3.053176367800813168e+05 6.950165533123819351e+09
-8.237056393824517727e+03 5.724011269812959671e+09
3.183599849490363151e+06 2.586404412486499786e+10
1.594076976748423651e+06 1.568923644622694778e+10
1.001621615274405107e+06 1.086018879148335838e+10
5.055388685542605817e+05 8.484599601420543671e+09
1.828238711141981184e+05 6.618459709081043243e+09
-9.292734542001038790e+03 5.703832263085832596e+09
8.664007142080180347e+04 4.782737159894859314e+09
-3.917364190622270107e+05 4.261318437929277420e+09
2.591880551934488118e+06 3.562975119508010864e+10
2.570113147583965212e+06 2.296377231552359772e+10
1.055612752979550511e+06 1.294471943732716179e+10
4.550822400815039873e+05 9.147428458550241470e+09
2.879296023722626269e+05 7.472392763193742752e+09
1.775632160171866417e+05 5.775995018621755600e+09
-1.007565102385021746e+05 5.100182206922147751e+09
6.336034219972789288e+02 4.555972912665073395e+09
-2.149391260517761111e+03 3.945880245450109482e+09
-5.158939604744687676e+05 3.594230079905910492e+09
-4.230405096348333359e+07 8.657457488217434692e+10
2.573685588707566261e+06 2.695048915239233398e+10
6.897492953414432704e+05 1.891461391350979233e+10
5.633638182992003858e+05 1.088667977363433838e+10
2.376691501627676189e+05 7.905538005330064774e+09
5.167702475521527231e+04 6.347203338761873245e+09
6.066054829818010330e+04 5.116417286909830093e+09
-1.031859366696365178e+05 4.658032331564022064e+09
3.527024063607864082e+04 4.122221927177707672e+09
-1.014587763147652149e+05 3.627019132274560928e+09
-1.462314330455586314e+05 3.398143530478168488e+09
-3.858799053765833378e+05 3.049761602704137802e+09
1.968235353891173005e+07 1.221577775584454193e+11
1.600481264154113829e+06 2.219571426803137207e+10
4.188239279166050255e+05 1.692467859949438477e+10
-3.418826027081161737e+04 9.870428798564128876e+09
-8.259498214913904667e+04 7.278564966063966751e+09
-2.709602542023435235e+05 5.781477349777181625e+09
-4.676535035814344883e+05 4.882864383631404877e+09
-3.810208714985027909e+05 4.362894387113821030e+09
-2.970566870659738779e+05 3.817307466002725601e+09
-3.674717581943497062e+05 3.487739560221736908e+09
-5.423854637976884842e+05 3.222312692492385864e+09
-5.512032147359400988e+05 2.833183536710679054e+09
-9.760149565189033747e+05 2.734601347211751938e+09
2.658032911895476247e-02 5.773936942306974185e-01
1.816134804865029290e-02 8.157109786411920194e-02
4.413606289253707571e-01 9.559774213412148836e-01
7.336580092956377364e-01 1.267264222471961244e+00
5.161035704655922984e-01 1.080253862769019690e+00
