# Min Max
2.981748145435117185e+06 7.682798580894003296e+10
1.615157292279286310e+06 5.245682462992106628e+10
9.928364632496424019e+05 3.683384890952407837e+10
4.398690753887593746e+05 2.998306852912666702e+10
1.456485680646840483e+05 2.525192017686375809e+10
4.874530864863786846e+06 1.808011462417998962e+11
3.830301997367009521e+06 1.026655123825495453e+11
1.464117910612672567e+06 5.650293256740032959e+10
1.057836318457113579e+06 4.335514355221957397e+10
5.876489450728297234e+05 3.105872507291613770e+10
4.998900837569031864e+05 2.586141224046509171e+10
2.453881570692416281e+05 2.179568382254858017e+10
2.907197453888505697e+04 1.808166852071317291e+10
-2.088885219834446907e+07 5.852824517745231934e+11
4.647995406517099589e+06 1.348288934490834656e+11
1.902065514939982444e+06 7.857832328986981201e+10
8.835141753957197070e+05 4.568608840788980865e+10
7.503331147098299116e+05 3.633952826608599091e+10
4.855117192870825529e+05 2.730677926569998169e+10
3.032643271806277335e+05 2.304070581051585388e+10
2.126455511767473072e+05 1.997619659135173416e+10
1.733583808162398636e+05 1.636835383674223709e+10
-2.500871082826573402e+05 1.469156443990145874e+10
2.659474333021039516e+07 6.158919909757757568e+11
2.455859012341659516e+06 1.003237032927924500e+11
9.242017335552386940e+05 7.081682962734892273e+10
5.800263719356488436e+05 4.082090123132946777e+10
2.241978533257320523e+05 3.207190819570713806e+10
2.535648821405507624e+05 2.435520538875199890e+10
-1.291170879233833402e+05 2.028207817406035614e+10
-2.487296165293268859e+04 1.826153510338545609e+10
-1.852404001423716545e+04 1.512239695751501083e+10
-1.782821477292235941e+05 1.367486471131010437e+10
-7.975194461754560471e+05 1.277890279158714676e+10
3.032044978540871292e+06 7.350485461681039429e+10
2.983127338021799922e+06 7.710453734394012451e+10
2.279117844519544393e+06 5.433435647651397705e+10
8.422927828604485840e+05 3.983729780789484406e+10
3.004142672456284985e+06 8.675104330083732605e+10
2.490324689893383533e+06 5.937608481568187714e+10
1.378779024409983307e+06 3.889002122767391968e+10
8.141383077157959342e+05 2.954286807334916687e+10
1.805461877939254045e+05 2.382722620279148865e+10
3.156197277950845659e+06 1.067510410628662720e+11
2.028779919970393181e+06 6.412597696557711029e+10
1.273488390783246607e+06 4.443982110136869812e+10
6.910731128564048558e+05 3.133125818932921219e+10
3.461324089888557792e+05 2.494756560699314880e+10
3.429189979223124683e+05 2.058244298039172363e+10
-1.494585958145912737e+05 1.788296159998555374e+10
3.826300894081559032e+06 1.451923455199450378e+11
2.864502561621302739e+06 8.483865620602047729e+10
1.275448930210426450e+06 4.748680063896877289e+10
8.368003954599685967e+05 3.597866339981220245e+10
1.311204633503146470e+05 2.635151015191823578e+10
3.149492755587100983e+05 2.203561557823163605e+10
1.915571866542138159e+05 1.838568508617184830e+10
8.468401156268268824e+04 1.539214525446178436e+10
-3.351323893074095249e+05 1.392299876287957382e+10
-4.391850038269543648e+07 4.817345713104143677e+11
3.402086701476912946e+06 1.087263524592567139e+11
1.626833137642491609e+06 7.069890659251188660e+10
8.688749860985353589e+05 4.073025305861334229e+10
3.970888422766663134e+05 3.085893497723494720e+10
1.838878069061115384e+05 2.283627298286890411e+10
7.602274971449561417e+04 1.957383224195543671e+10
5.677468075899221003e+04 1.697127295749747086e+10
7.533575480179302394e+04 1.363055152625829315e+10
-4.494266217420250177e+04 1.293631054083617401e+10
